SMILES,o2
[H]C([H])(C1=CC=C(*)C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(O*)C=C2)C=C1,1.1
[H]C([H])(C1=CC=C(O*)C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.1
[H]C(*)=C(*)C(C)(C)C,130
[H]C1=CC(=CC([H])=C1O*)C(C1=CC([H])=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C([H])=C1)(C(F)(F)F)C(F)(F)F,5.23
[H]C1=CC(=CC([H])=C1O*)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC([H])=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C([H])=C1,3.03
[H]C1=CC(=CC([H])=C1O*)C1(OC(=O)C2=C1C=CC=C2)C1=CC([H])=C(OC(=O)C2=CC(=CC(=C2)C(*)=O)C(C)(C)C)C([H])=C1,5.6
[H]C1=CC(=CC([H])=C1O*)C1(OC(=O)C2C=CC=CC12)C1=CC([H])=C(OC(=O)C2=CC(=CC(=C2)C(*)=O)C(C)(C)C)C([H])=C1,5.6
[H]C1=CC(=CC(=C1)C(=O)OC1=C([H])C=C(C=C1[H])C1(C2C=CC=CC2C2C=CC=CC12)C1=CC([H])=C(O*)C([H])=C1)C(*)=O,3.03
[H]C1=CC(=CC(=C1)C(=O)OC1=C([H])C=C(C=C1[H])C1(OC(=O)C2=C1C=CC=C2)C1=CC([H])=C(O*)C([H])=C1)C(*)=O,1.52
[H]C1=CC(=CC(=C1)C(=O)OC1=C([H])C=C(C=C1[H])C1(OC(=O)C2C=CC=CC12)C1=CC([H])=C(O*)C([H])=C1)C(*)=O,1.53
[H]C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C(C1=CC(Br)=C(O*)C(Br)=C1)(C(F)(F)F)C(F)(F)F)C(*)=O,6.75
[H]C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC(Br)=C(O*)C(Br)=C1)C(*)=O,4.84
[H]C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C1(OC(=O)C2C=CC=CC12)C1=CC(Br)=C(O*)C(Br)=C1)C(*)=O,1.96
[H]C1=CC(=CC(=C1)C(=O)OC1=C(C)C=C(C=C1[H])C(C)(C)C1=CC([H])=C(O*)C(C)=C1)C(*)=O,0.4
[H]C1=CC(=CC(=C1)C(=O)OC1=C(C)C=C(C=C1Br)C(C)(C)C1=CC(Br)=C(O*)C(C)=C1)C(*)=O,1.52
[H]C1=CC(=CC(=C1)C(=O)OC1=C(C)C=C(C=C1C)C(C)(C)C1=CC(C)=C(O*)C(C)=C1)C(*)=O,3.26
[H]C1=CC(=CC(=C1)C(=O)OC1=C(C=C(C=C1[H])C(C)(C)C1=CC([H])=C(O*)C(=C1)C(C)C)C(C)C)C(*)=O,1.64
[H]C1=CC(=CC(C(C)C)=C1OC(=O)C1=CC(=CC(=C1)C(*)=O)C(C)(C)C)C(C)(C)C1=CC([H])=C(O*)C(=C1)C(C)C,5.03
[H]C1=CC(=CC(C)=C1O*)C(C)(C)C1=CC(C)=C(OC(=O)C2=CC(=CC=C2)C(=O)O*)C([H])=C1,0.46
[H]C1=CC(=CC(C)=C1O*)C(C)(C)C1=CC(C)=C(OC(=O)C2=CC=C(C=C2)C(=O)O*)C([H])=C1,1.12
[H]C1=CC(=CC(C)=C1OC(=O)C1=CC(=CC(=C1)C(*)=O)C(C)(C)C)C(C)(C)C1=CC([H])=C(O*)C(C)=C1,2.37
[H]C1=CC(=CC=C1OC(=O)C1=CC=C(C=C1)C(=O)O*)C1(OC(=O)C2=C1C=CC=C2)C1=CC([H])=C(O*)C=C1,2.15
[H]C1=CC=C(C=C1)C(*)=C(*)C1=CC=C(C=C1)[Si](C)(C)CCCCCCCC,34
[H]C1=CC=C(C=C1)N(C1=CC=C(*)C=C1)C1=CC=C(C=C1)N1C(=O)C2=C(C=C(C=C2)C(C2=CC=C3C(=O)N(*)C(=O)C3=C2)(C(F)(F)F)C(F)(F)F)C1=O,0.69
[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC(F)=C(F)C=C1,6600
[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC(F)=CC(F)=C1,2700
[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC(F)=CC=C1,5900
[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC=C(Br)C=C1,5000
