SMILES,tg
*C*,-54
*CC(*)C,-3
*CC(*)CC,-24.1
*CC(*)CCC,-37
*CC(*)C(C)C,60
*CC(*)CCCC,-50
*CC(*)CC(C)C,35.2
*CC(*)CCCCC,-45.5
*CC(*)CCCCCCC,-47
*CC(*)CCCCCCCC,-35
*CC(*)(C)C,-72
*CC(*)(C)CC,-5
*CCC(*)(C)C,-12
*CC(C)C(*)(C)C,37
*CCCC(*)(C)C,-20
*CCCC(*)(C)CC,-23
*CCCCCCCC(*)C,-58
*CC(*)C1CCCC1,75
*CC(*)CC1CCCC1,60
*CC(*)C1CCCCC1,119.7
*CC(*)CC1CCCCC1,75
*CC(*)Cc1ccccc1,70
*CC(*)CCc1ccccc1,10
*CC(*)CCCCCC,-54
*CC(*)CCCCCCCCCC,-6
*CC(*)CCCCCCCCCCCC,10
*CC(*)CCCCCCCCCCCCCCCC,55
*CC(*)CC(C)(C)C,190
*CC(*)CCC1CCCCC1,40
*CC(*)(C)CCC,27
*/C=C/CCC*,-105
*/C=C/CC*,-91
*CCC(C)C(*)C,-26
*CC(*)CCCCCCCCCCCCCC,-24
*/C=C/CCCCCC*,-78
*CC(*)C1CCCC(C)C1,141
*CC(*)C1CCC(C)CC1,132
*CC/C=C(/*)CCCCCCC,-83
*CC/C=C(/*)C(C)C,-47
*/C=C/C1CCC(*)C1,31
*/C=C/CCCCCCCCCC*,-53
*/C=C/*,-4
*CC1(*)CCCCC1,100
*CC/C=C(/*)C(C)(C)C,20
*CC(*)c1ccccc1,99.9
*CC(*)c1ccccc1C,131
*CC(*)c1ccccc1COC,89
*CC(*)c1ccccc1COCC,74
*CC(*)c1ccccc1COCCC,97
*CC(*)c1ccccc1COC(C)C,88
*CC(*)c1ccccc1COCCCC,67
*CC(*)c1ccccc1COCCCCC,47
*CC(*)c1ccccc1COCCC(C)C,78
*CC(*)c1ccccc1COCc1ccccc1,72
*CC(*)c1ccccc1COCCc1ccccc1,63
*CC(*)c1ccccc1C(=O)NC,189
*CC(*)c1ccccc1C(=O)N(C)C,190
*CC(*)c1ccccc1C(=O)Nc1ccccc1,191
*CC(*)c1ccccc1C(=O)O,177
*CC(*)c1ccccc1C(=O)OC,130
*CC(*)c1ccccc1C(=O)OCC,118
*CC(*)c1ccccc1C(=O)OCCC,108
*CC(*)c1ccccc1C(=O)OC(C)C,146
*CC(*)c1ccccc1C(=O)OCCCC,66
*CC(*)c1ccccc1C(=O)OCC(C)C,127
*CC(*)c1ccccc1C(=O)OCCCCC,92
